cell_id,lat,lon
42.0000_-82.0000,42.0,-82.0
42.0000_-82.5000,42.0,-82.5
42.0000_-83.0000,42.0,-83.0
42.5000_-80.0000,42.5,-80.0
42.5000_-80.5000,42.5,-80.5
42.5000_-81.0000,42.5,-81.0
42.5000_-81.5000,42.5,-81.5
42.5000_-82.0000,42.5,-82.0
42.5000_-82.5000,42.5,-82.5
43.0000_-79.0000,43.0,-79.0
43.0000_-79.5000,43.0,-79.5
43.0000_-80.0000,43.0,-80.0
43.0000_-80.5000,43.0,-80.5
43.0000_-81.0000,43.0,-81.0
43.0000_-81.5000,43.0,-81.5
43.0000_-82.0000,43.0,-82.0
43.0000_-82.5000,43.0,-82.5
43.5000_-65.5000,43.5,-65.5
43.5000_-79.0000,43.5,-79.0
43.5000_-79.5000,43.5,-79.5
43.5000_-80.0000,43.5,-80.0
43.5000_-80.5000,43.5,-80.5
43.5000_-81.0000,43.5,-81.0
43.5000_-81.5000,43.5,-81.5
43.5000_-82.0000,43.5,-82.0
44.0000_-60.0000,44.0,-60.0
44.0000_-65.0000,44.0,-65.0
44.0000_-65.5000,44.0,-65.5
44.0000_-66.0000,44.0,-66.0
44.0000_-76.5000,44.0,-76.5
44.0000_-77.0000,44.0,-77.0
44.0000_-77.5000,44.0,-77.5
44.0000_-78.0000,44.0,-78.0
44.0000_-78.5000,44.0,-78.5
44.0000_-79.0000,44.0,-79.0
44.0000_-79.5000,44.0,-79.5
44.0000_-80.0000,44.0,-80.0
44.0000_-80.5000,44.0,-80.5
44.0000_-81.0000,44.0,-81.0
44.0000_-81.5000,44.0,-81.5
44.0000_-82.0000,44.0,-82.0
44.5000_-63.5000,44.5,-63.5
44.5000_-64.0000,44.5,-64.0
44.5000_-64.5000,44.5,-64.5
44.5000_-65.0000,44.5,-65.0
44.5000_-65.5000,44.5,-65.5
44.5000_-66.0000,44.5,-66.0
44.5000_-76.0000,44.5,-76.0
44.5000_-76.5000,44.5,-76.5
44.5000_-77.0000,44.5,-77.0
44.5000_-77.5000,44.5,-77.5
44.5000_-78.0000,44.5,-78.0
44.5000_-78.5000,44.5,-78.5
44.5000_-79.0000,44.5,-79.0
44.5000_-79.5000,44.5,-79.5
44.5000_-80.0000,44.5,-80.0
44.5000_-80.5000,44.5,-80.5
44.5000_-81.0000,44.5,-81.0
44.5000_-81.5000,44.5,-81.5
