lat,lon,nearest_station_name
41.0,-141.0,Victoria
41.0,-140.5,Victoria
41.0,-140.0,Victoria
41.0,-139.5,Victoria
41.0,-139.0,Victoria
41.0,-138.5,Victoria
41.0,-138.0,Victoria
41.0,-137.5,Victoria
41.0,-137.0,Victoria
41.0,-136.5,Victoria
41.0,-136.0,Victoria
41.0,-135.5,Victoria
41.0,-135.0,Victoria
41.0,-134.5,Victoria
41.0,-134.0,Victoria
41.0,-133.5,Victoria
41.0,-133.0,Victoria
41.0,-132.5,Victoria
41.0,-132.0,Victoria
41.0,-131.5,Victoria
41.0,-131.0,Victoria
41.0,-130.5,Victoria
41.0,-130.0,Victoria
41.0,-129.5,Victoria
41.0,-129.0,Victoria
41.0,-128.5,Victoria
41.0,-128.0,Victoria
41.0,-127.5,Victoria
41.0,-127.0,Victoria
41.0,-126.5,Victoria
41.0,-126.0,Victoria
41.0,-125.5,Victoria
41.0,-125.0,Victoria
41.0,-124.5,Victoria
41.0,-124.0,Victoria
41.0,-123.5,Victoria
41.0,-123.0,Victoria
41.0,-122.5,Victoria
41.0,-122.0,Victoria
41.0,-121.5,Victoria
41.0,-121.0,Victoria
41.0,-120.5,Victoria
41.0,-120.0,Victoria
41.0,-119.5,Victoria
41.0,-119.0,Victoria
41.0,-118.5,Victoria
41.0,-118.0,Victoria
41.0,-117.5,Victoria
41.0,-117.0,Victoria
41.0,-116.5,Victoria
41.0,-116.0,Victoria
41.0,-115.5,Kelowna
41.0,-115.0,Kelowna
41.0,-114.5,Kelowna
41.0,-114.0,Kelowna
41.0,-113.5,Kelowna
41.0,-113.0,Kelowna
41.0,-112.5,Calgary
41.0,-112.0,Calgary
41.0,-111.5,Calgary
41.0,-111.0,Calgary
41.0,-110.5,Regina
41.0,-110.0,Regina
41.0,-109.5,Regina
41.0,-109.0,Regina
41.0,-108.5,Regina
41.0,-108.0,Regina
41.0,-107.5,Regina
41.0,-107.0,Regina
41.0,-106.5,Regina
41.0,-106.0,Regina
41.0,-105.5,Regina
41.0,-105.0,Regina
41.0,-104.5,Regina
41.0,-104.0,Regina
41.0,-103.5,Regina
41.0,-103.0,Regina
41.0,-102.5,Regina
41.0,-102.0,Winnipeg
41.0,-101.5,Winnipeg
41.0,-101.0,Winnipeg
41.0,-100.5,Winnipeg
41.0,-100.0,Winnipeg
41.0,-99.5,Winnipeg
41.0,-99.0,Winnipeg
41.0,-98.5,Winnipeg
41.0,-98.0,Winnipeg
41.0,-97.5,Winnipeg
